,,Na23,,,,,,,Mg24 (2+),,,,,,,K39,,,,,,,Ca40 (2+),,,,,,,F-,,,,,,,,Cl-,,,,,,,,NO2-,,,,,,,,Br-,,,,,,,,NO3-,,,,,,,,PO4,,,,,,,,SO4 -2,,,,,,,,Ca+Mg,Alkalinity as CaCO3 -Used Ca+mg regression equation of 1.8758*(Ca+mg)+91.44 for Na's.,,,,,,
Name,Date,(ug/L),molar mass (g),mg/L,g/L,mol/L,mmol/L,(meq/L),(ug/L),molar mass (g),mg/L,g/L,mol/L,mmol/L,(meq/L),(ug/L),molar mass (g),mg/L,g/mol,mol/L,mmol/L,(meq/L),(ug/L),molar mass (g),mg/L,g/mol,mol/L,mmol/L,(meq/L),(umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),Cl- (umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),NO2- (umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),Br- (umoles/L),molar mass (g),ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),NO3- (umoles/L),g/mol,ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),PO4 (umoles/L),g/mol,ug/L,mg/L,g/mol,mol/L,mmol/L,(meq/L),SO4 (umoles/L),molar mass(g),ug/L,mg/L,g/L,mol/L,mmol/L,(meq/L),mg/L,original alk w/o Ca+Mg fill (mg/L),original alk w/Ca+Mg fill (mg/L) #1_FINAL,molar mass alk,g/L,mol/L,mmol/L,Alk #1-meq/L USGS
Big,11/12/2017,2539.155064,22.989769,2.539,0.003,0.0001,0.1104,0.11,22339.372,24.305,22.339,0.022,0.0009,0.9191,1.84,1045.799,39.098,1.046,0.001,0.0000,0.0267,0.03,40251.300,40.078,40.251,0.040,0.0010,1.0043,2.01,2.569,18.990,48.787,0.049,0.000,0.0000,0.0026,0.00,59.588,35.450,2112.411,2.112,0.002,0.0001,0.0596,0.06,0.476,46.006,21.881,0.022,0.000,0.0000,0.0005,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,12.887,62.0049,799.029,0.799,0.001,0.0000,0.0129,0.01,0.463,94.970,43.933,0.044,0.000,0.0000,0.0005,0.00,31.260,96.060,3002.825,3.003,0.003,0.0000,0.0313,0.06,62.591,,208.8475823,100.0869,0.208847582,0.002086663,2.086662513,4.173325026
Big,12/18/2017,2461.661456,22.989769,2.462,0.002,0.0001,0.1071,0.11,22247.263,24.305,22.247,0.022,0.0009,0.9153,1.83,881.265,39.098,0.881,0.001,0.0000,0.0225,0.02,45154.379,40.078,45.154,0.045,0.0011,1.1267,2.25,2.486,18.990,47.206,0.047,0.000,0.0000,0.0025,0.00,55.911,35.450,1982.062,1.982,0.002,0.0001,0.0559,0.06,0.368,46.006,16.952,0.017,0.000,0.0000,0.0004,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,14.849,62.0049,920.726,0.921,0.001,0.0000,0.0148,0.01,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.235,96.060,3000.423,3.000,0.003,0.0000,0.0312,0.06,67.402,,217.8719994,100.0869,0.217871999,0.002176828,2.17682833,4.35365666
Big,4/7/2018,2162.914683,22.989769,2.163,0.002,0.0001,0.0941,0.09,19640.407,24.305,19.640,0.020,0.0008,0.8081,1.62,524.854,39.098,0.525,0.001,0.0000,0.0134,0.01,41325.020,40.078,41.325,0.041,0.0010,1.0311,2.06,3.072,18.990,58.330,0.058,0.000,0.0000,0.0031,0.00,57.889,35.450,2052.174,2.052,0.002,0.0001,0.0579,0.06,1.656,46.006,76.197,0.076,0.000,0.0000,0.0017,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,4.661,62.0049,289.030,0.289,0.000,0.0000,0.0047,0.00,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.920,96.060,3066.194,3.066,0.003,0.0000,0.0319,0.06,60.965,234,234,100.0869,0.234,0.002337968,2.337968306,4.675936611
Big,4/7/2018,2212.489881,22.989769,2.212,0.002,0.0001,0.0962,0.10,20839.958,24.305,20.840,0.021,0.0009,0.8574,1.71,522.227,39.098,0.522,0.001,0.0000,0.0134,0.01,42321.146,40.078,42.321,0.042,0.0011,1.0560,2.11,3.021,18.990,57.374,0.057,0.000,0.0000,0.0030,0.00,56.382,35.450,1998.731,1.999,0.002,0.0001,0.0564,0.06,1.109,46.006,51.038,0.051,0.000,0.0000,0.0011,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,3.846,62.0049,238.453,0.238,0.000,0.0000,0.0038,0.00,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,31.178,96.060,2994.941,2.995,0.003,0.0000,0.0312,0.06,63.161,234,234,100.0869,0.234,0.002337968,2.337968306,4.675936611
Big,5/25/2018,2165.671774,22.989769,2.166,0.002,0.0001,0.0942,0.09,20881.355,24.305,20.881,0.021,0.0009,0.8591,1.72,549.365,39.098,0.549,0.001,0.0000,0.0141,0.01,44613.817,40.078,44.614,0.045,0.0011,1.1132,2.23,2.848,18.990,54.083,0.054,0.000,0.0000,0.0028,0.00,56.014,35.450,1985.711,1.986,0.002,0.0001,0.0560,0.06,0.000,46.006,0.000,0.000,0.000,0.0000,0.0000,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,0.000,62.0049,0.000,0.000,0.000,0.0000,0.0000,0.00,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,30.607,96.060,2940.075,2.940,0.003,0.0000,0.0306,0.06,65.495,180,180,100.0869,0.18,0.001798437,1.798437158,3.596874316
Big,6/25/2018,2195.856517,22.989769,2.196,0.002,0.0001,0.0955,0.10,20868.483,24.305,20.868,0.021,0.0009,0.8586,1.72,530.833,39.098,0.531,0.001,0.0000,0.0136,0.01,40478.866,40.078,40.479,0.040,0.0010,1.0100,2.02,3.064,18.990,58.184,0.058,0.000,0.0000,0.0031,0.00,61.057,35.450,2164.456,2.164,0.002,0.0001,0.0611,0.06,2.055,46.006,94.523,0.095,0.000,0.0000,0.0021,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,9.597,62.0049,595.061,0.595,0.001,0.0000,0.0096,0.01,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,32.126,96.060,3086.069,3.086,0.003,0.0000,0.0321,0.06,61.347,230,230,100.0869,0.23,0.002298003,2.298003035,4.596006071
Big,7/12/2018,2211.636541,22.989769,2.212,0.002,0.0001,0.0962,0.10,23420.767,24.305,23.421,0.023,0.0010,0.9636,1.93,706.377,39.098,0.706,0.001,0.0000,0.0181,0.02,43055.515,40.078,43.056,0.043,0.0011,1.0743,2.15,3.271,18.990,62.117,0.062,0.000,0.0000,0.0033,0.00,64.712,35.450,2294.042,2.294,0.002,0.0001,0.0647,0.06,3.148,46.006,144.823,0.145,0.000,0.0000,0.0031,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,1.970,62.0049,122.172,0.122,0.000,0.0000,0.0020,0.00,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,34.269,96.060,3291.835,3.292,0.003,0.0000,0.0343,0.07,66.476,210,210,100.0869,0.21,0.002098177,2.098176684,4.196353369
Big,7/12/2018,2286.482009,22.989769,2.286,0.002,0.0001,0.0995,0.10,23350.916,24.305,23.351,0.023,0.0010,0.9607,1.92,702.915,39.098,0.703,0.001,0.0000,0.0180,0.02,43668.424,40.078,43.668,0.044,0.0011,1.0896,2.18,3.343,18.990,63.480,0.063,0.000,0.0000,0.0033,0.00,65.606,35.450,2325.727,2.326,0.002,0.0001,0.0656,0.07,1.941,46.006,89.304,0.089,0.000,0.0000,0.0019,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,5.663,62.0049,351.113,0.351,0.000,0.0000,0.0057,0.01,0.000,94.970,0.000,0.000,0.000,0.0000,0.0000,0.00,34.570,96.060,3320.780,3.321,0.003,0.0000,0.0346,0.07,67.019,210,210,100.0869,0.21,0.002098177,2.098176684,4.196353369
Big,7/13/2018,2297.785178,22.989769,2.298,0.002,0.0001,0.0999,0.10,23406.093,24.305,23.406,0.023,0.0010,0.9630,1.93,736.462,39.098,0.736,0.001,0.0000,0.0188,0.02,43665.213,40.078,43.665,0.044,0.0011,1.0895,2.18,3.635,18.990,69.024,0.069,0.000,0.0000,0.0036,0.00,60.316,35.450,2138.196,2.138,0.002,0.0001,0.0603,0.06,0.000,46.006,0.000,0.000,0.000,0.0000,0.0000,0.00,0.000,79.904,0.000,0.000,0.000,0.0000,0.0000,0.00,0.000,62.0049,0.000,0.000,0.000,0.0000,0.0000,0.00,1.480,94.970,140.569,0.141,0.000,0.0000,0.0015,0.00,33.347,96.060,3203.303,3.203,0.003,0.0000,0.0333,0.07,67.071,200,200,100.0869,0.2,0.001998264,1.998263509,3.996527018
