Name,Easting,Northing,Date,Na23 (ug/L),Mg24 (2+) (ug/L),K39 (ug/L),Ca40 (2+) (ug/L),F- (umoles/L),Cl- (umoles/L),NO2- (umoles/L),Br- (umoles/L),NO3- (umoles/L),PO4 (umoles/L),SO4 (umoles/L),Ca+Mg mg/L,original alk w/Ca+Mg fill (mg/L)
Big,379354,4051598,11/12/2017,2539.155064,22339.372,1045.799,40251.3,2.569,59.588,0.476,0,12.887,0.463,31.26,62.591,208.8475823
Big,379354,4051598,12/18/2017,2461.661456,22247.263,881.265,45154.379,2.486,55.911,0.368,0,14.849,0,31.235,67.402,217.8719994
Big,379354,4051598,4/7/2018,2162.914683,19640.407,524.854,41325.02,3.072,57.889,1.656,0,4.661,0,31.92,60.965,234
Big,379354,4051598,4/7/2018,2212.489881,20839.958,522.227,42321.146,3.021,56.382,1.109,0,3.846,0,31.178,63.161,234
Big,379354,4051598,5/25/2018,2165.671774,20881.355,549.365,44613.817,2.848,56.014,0,0,0,0,30.607,65.495,180
Big,379354,4051598,6/25/2018,2195.856517,20868.483,530.833,40478.866,3.064,61.057,2.055,0,9.597,0,32.126,61.347,230
Big,379354,4051598,7/12/2018,2211.636541,23420.767,706.377,43055.515,3.271,64.712,3.148,0,1.97,0,34.269,66.476,210
Big,379354,4051598,7/12/2018,2286.482009,23350.916,702.915,43668.424,3.343,65.606,1.941,0,5.663,0,34.57,67.019,210
Big,379354,4051598,7/13/2018,2297.785178,23406.093,736.462,43665.213,3.635,60.316,0,0,0,1.48,33.347,67.071,200
Big,379354,4051598,7/14/2018,2216.651013,23706.423,760.139,43184.599,3.116,59.87,1.674,0,5.483,0,33.954,66.891,224
Big,379354,4051598,7/14/2018,2240.389578,23272.909,671.96,43081.261,3.067,73.975,1.956,0,11.533,0,34.434,66.354,224
Big,379354,4051598,8/4/2018,2654.422645,23828.69834,2311.35845,43204.06582,4.514178138,56.29473716,0,0,14.97444275,0,31.75461297,67.033,187.7
Big,379354,4051598,8/31/2018,2696.34209,23444.70005,2426.061854,42122.60359,4.090476168,54.6558049,4.467109389,0,15.44056219,0,32.3894635,65.567,214.4311482
Big,379354,4051598,9/1/2018,2777.410708,23224.98551,2100.920843,43119.0928,4.074215936,54.11408968,1.443309258,0,14.0420704,0,31.79749836,66.344,211.5
Big,379354,4051598,9/2/2018,2649.659803,22188.34003,2035.165564,41952.20696,4.136718679,58.27202997,0,1.691810964,14.80505735,0,31.84393494,64.141,180
